Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR062634_1 - illumina_universal_adapter	(1, 4.902740055619135e-05)	(2, 6.128425069523918e-05)	(3, 6.536986740825513e-05)	(4, 6.536986740825513e-05)	(5, 6.536986740825513e-05)	(6, 7.762671754730297e-05)	(7, 8.579795097333486e-05)	(8, 8.579795097333486e-05)	(9, 8.98835676863508e-05)	(10, 0.00017568151865968566)	(12, 0.00035340584567587925)	(14, 0.0027945618317029067)	(16, 0.005329687002129301)	(18, 0.00679233778538901)	(20, 0.028401164580530346)	(22, 0.030172279425622756)	(24, 0.03180039768575961)	(26, 0.034454005740863464)	(28, 0.03890937076640736)	(30, 0.044888670825906196)	(32, 0.05289647958341745)	(34, 0.06342919946957255)	(36, 0.07575754790109818)	(38, 0.09004494954651493)	(40, 0.10617496432950188)	(42, 0.1233202548656733)	(44, 0.1417647715165838)	(46, 0.1613001478298695)	(48, 0.1811787159470486)	(50, 0.20306945029538803)	(52, 0.22664345872949004)	(54, 0.2514942223864095)	(56, 0.27785666422714494)	(58, 0.30664187677869875)	(60, 0.3366732024277225)	(62, 0.36943984846611033)	(64, 0.4048560169428891)	(66, 0.4434160674803336)	(68, 0.48348166777652446)	(70, 0.5263826860715484)	(72, 0.572668637813306)	(74, 0.6220412729817473)	(76, 0.6748785111228259)	(78, 0.7303101158766698)	(80, 0.7889366729000922)	(82, 0.8514241377173144)	(84, 0.9173925479740264)	(86, 0.9870604841643743)	(88, 1.0608630644682944)
SRR062634_1 - polya	(1, 0.10529859954455996)	(2, 0.1295222210360315)	(3, 0.14720885578667753)	(4, 0.16660736394007725)	(5, 0.18458816309406043)	(6, 0.19988471206759212)	(7, 0.2188419736159861)	(8, 0.23409766642238763)	(9, 0.2507465545279276)	(10, 0.27494770512747757)	(12, 0.30415577900882856)	(14, 0.33227095041944776)	(16, 0.3553485564229184)	(18, 0.37632002701082923)	(20, 0.3969462629864902)	(22, 0.4149556614574645)	(24, 0.4311735169997813)	(26, 0.44800217224069394)	(28, 0.46621585154731904)	(30, 0.48193321904229136)	(32, 0.49854737940577076)	(34, 0.5139583256472668)	(36, 0.52936518627205)	(38, 0.5447250623046335)	(40, 0.5604546866497448)	(42, 0.5769299360449817)	(44, 0.592659560390093)	(46, 0.6084484261775431)	(48, 0.6235427371237805)	(50, 0.6398627330839228)	(52, 0.6586504415387266)	(54, 0.6754831823963523)	(56, 0.6911024950902123)	(58, 0.7093570305639676)	(60, 0.7264451224661567)	(62, 0.7434188171003815)	(64, 0.7586581674399309)	(66, 0.7742509236251562)	(68, 0.7916393083557521)	(70, 0.8086048317565508)	(72, 0.8238380536710308)	(74, 0.8399558116038788)	(76, 0.8579202682910099)	(78, 0.8757253859263333)	(80, 0.8920086113360584)	(82, 0.9086411569747463)	(84, 0.9250918926697049)	(86, 0.9411892225189877)	(88, 0.9566880095198138)
SRR062634_1 - polyg	(1, 7.762671754730297e-05)	(2, 8.98835676863508e-05)	(3, 0.00011031165125143053)	(4, 0.00012665411810349432)	(5, 0.00014299658495555808)	(6, 0.00015525343509460593)	(7, 0.00018385275208571754)	(8, 0.00019202398551174942)	(9, 0.00022062330250286106)	(10, 0.0002696507030590524)	(12, 0.00040243324623207065)	(14, 0.0005760719565352483)	(16, 0.0006965976495692187)	(18, 0.0009213065687850956)	(20, 0.0011480582963574806)	(22, 0.0013686815988603418)	(24, 0.001728215869605745)	(26, 0.002159248432828927)	(28, 0.0026597364801733804)	(30, 0.0033338632378210114)	(32, 0.004185714322484836)	(34, 0.005121320549765488)	(36, 0.00612638226116741)	(38, 0.0072437984321772715)	(40, 0.008559367013768405)	(42, 0.009885149637142081)	(44, 0.011290601786419566)	(46, 0.013053545398085946)	(48, 0.01502485546211614)	(50, 0.01722087444536221)	(52, 0.01990512462581369)	(54, 0.023128676212383268)	(56, 0.027048825448522065)	(58, 0.031173255520311666)	(60, 0.03574914623888952)	(62, 0.04049867566777056)	(64, 0.04565676676795319)	(66, 0.051057952062560266)	(68, 0.05655106373321021)	(70, 0.06219534322224174)	(72, 0.06788252168675993)	(74, 0.07395579093065814)	(76, 0.08018635641800745)	(78, 0.08643530718056534)	(80, 0.09300497885509498)	(82, 0.09983612999925764)	(84, 0.1068981184877057)	(86, 0.11434824056389029)	(88, 0.12189437463283073)
SRR062634_2 - illumina_universal_adapter	(1, 6.128425069523918e-05)	(2, 7.762671754730297e-05)	(3, 8.17123342603189e-05)	(4, 8.17123342603189e-05)	(5, 8.17123342603189e-05)	(6, 9.396918439936674e-05)	(7, 0.00010214041782539864)	(8, 0.00010214041782539864)	(9, 0.00010214041782539864)	(10, 0.0001797671353727016)	(12, 0.00035544865403238724)	(14, 0.002694464222234016)	(16, 0.0051417486333305675)	(18, 0.00642871789793059)	(20, 0.012526500842106889)	(22, 0.01354381940364786)	(24, 0.01497378525320344)	(26, 0.01750482480691682)	(28, 0.021570013436367684)	(30, 0.027434916227902076)	(32, 0.035432510943630785)	(34, 0.04595910240471637)	(36, 0.058299707686381035)	(38, 0.07259323775686732)	(40, 0.08865175424737648)	(42, 0.10580725882533046)	(44, 0.12419253403390221)	(46, 0.1436972682218403)	(48, 0.1636493774398537)	(50, 0.18554215459654966)	(52, 0.20913863392257323)	(54, 0.2341814215650045)	(56, 0.26086458431771165)	(58, 0.2897110811199607)	(60, 0.3199548588380612)	(62, 0.35307286791376846)	(64, 0.3887382590100412)	(66, 0.4276537582015181)	(68, 0.46827908798739215)	(70, 0.5119543306495326)	(72, 0.5589450512742855)	(74, 0.6091572806772514)	(76, 0.6630220514216536)	(78, 0.7195915004300725)	(80, 0.7793477304746437)	(82, 0.8434081577263772)	(84, 0.9112212239290158)	(86, 0.9830933503360358)	(88, 1.059124634556906)
SRR062634_2 - polya	(1, 0.19470823569220091)	(2, 0.23026127232886567)	(3, 0.25523664729553214)	(4, 0.27839392282490655)	(5, 0.30287902378601106)	(6, 0.3214767510636597)	(7, 0.3457330574888353)	(8, 0.3655074423798325)	(9, 0.3867077075036723)	(10, 0.4158973961098147)	(12, 0.4515076313804617)	(14, 0.48534879461437275)	(16, 0.5121238837431228)	(18, 0.5382228033058686)	(20, 0.5643012947850494)	(22, 0.5863963099690396)	(24, 0.606091025334133)	(26, 0.6260758194858504)	(28, 0.6476764750475658)	(30, 0.6656429745430534)	(32, 0.6857952789800046)	(34, 0.7043276363902449)	(36, 0.7222451084851763)	(38, 0.7395558664982249)	(40, 0.7567031998427528)	(42, 0.774442947610668)	(44, 0.7921111970861054)	(46, 0.8103514329013652)	(48, 0.8275130659043886)	(50, 0.8452058290801041)	(52, 0.8669086250596449)	(54, 0.8860803814854722)	(56, 0.9038242148701005)	(58, 0.9267302249716244)	(60, 0.9497771888497473)	(62, 0.967132888646639)	(64, 0.9841699103399155)	(66, 1.0014663686944685)	(68, 1.0212162398851876)	(70, 1.0415483114575115)	(72, 1.0600704548259694)	(74, 1.0809867695882542)	(76, 1.1033677779421558)	(78, 1.1311050298068208)	(80, 1.1523236802058694)	(82, 1.1730316285157905)	(84, 1.1934678833142964)	(86, 1.2130257305195038)	(88, 1.2323874681224862)
SRR062634_2 - polyg	(1, 0.0014789932501117723)	(2, 0.0018180994372920957)	(3, 0.0022838597425759136)	(4, 0.0027291919642946517)	(5, 0.0033461200879600595)	(6, 0.004195928364267376)	(7, 0.004661688669551194)	(8, 0.005025308557009613)	(9, 0.007080373763656634)	(10, 0.010861612031552892)	(12, 0.015605013035364403)	(14, 0.016983908676007284)	(16, 0.018352590274867627)	(18, 0.019725357490440985)	(20, 0.02091018633721561)	(22, 0.02239122239568389)	(24, 0.02389268653771725)	(26, 0.025459520547158866)	(28, 0.027283748409520484)	(30, 0.029428697183853852)	(32, 0.03195769392921073)	(34, 0.03466441500158379)	(36, 0.037048372353628595)	(38, 0.039636610541324196)	(40, 0.04254352683263504)	(42, 0.045344217089407474)	(44, 0.048328760098265616)	(46, 0.051458342500435836)	(48, 0.05478607731318732)	(50, 0.0587777248418039)	(52, 0.06304310869019254)	(54, 0.06784166551962978)	(56, 0.07321220868888922)	(58, 0.07894637174560712)	(60, 0.08521983620844309)	(62, 0.09179155069132924)	(64, 0.09891686623882906)	(66, 0.10600949685262473)	(68, 0.11352498879621757)	(70, 0.12126110404231327)	(72, 0.12919945731570326)	(74, 0.13779763768824532)	(76, 0.14642850299449148)	(78, 0.15523300701104084)	(80, 0.16424996309666706)	(82, 0.17368773770373386)	(84, 0.18330527944617342)	(86, 0.193312997584706)	(88, 0.20419299489146742)
SRR062635_1 - illumina_universal_adapter	(1, 2.0424915864665323e-05)	(2, 2.450989903759839e-05)	(3, 3.267986538346452e-05)	(4, 3.267986538346452e-05)	(5, 3.676484855639758e-05)	(6, 4.901979807519678e-05)	(7, 5.718976442106291e-05)	(8, 6.127474759399597e-05)	(9, 6.127474759399597e-05)	(10, 0.00014297441105265727)	(12, 0.00030433124638351333)	(14, 0.0028063834398050157)	(16, 0.005351327956542315)	(18, 0.006828049373557618)	(20, 0.02856832981990739)	(22, 0.030422912180419003)	(24, 0.03181793393397564)	(26, 0.03447317299638213)	(28, 0.03880938263445058)	(30, 0.044403767089782414)	(32, 0.05230616703782143)	(34, 0.06250432752904883)	(36, 0.07481442432068261)	(38, 0.08895663606537689)	(40, 0.1049942800023121)	(42, 0.12211444448007458)	(44, 0.14057652593014558)	(46, 0.1599270912203295)	(48, 0.17989244647803984)	(50, 0.20093010981864512)	(52, 0.223520066764965)	(54, 0.24828936223404463)	(56, 0.27453946410331254)	(58, 0.30317723863715973)	(60, 0.33408013634039835)	(62, 0.36668442953516367)	(64, 0.4022115281901625)	(66, 0.44063896489794385)	(68, 0.4813825870647782)	(70, 0.5239848765752971)	(72, 0.5700573592912228)	(74, 0.6193304263231414)	(76, 0.6722677232611809)	(78, 0.7282074828313263)	(80, 0.7873008494109761)	(82, 0.8502463551227016)	(84, 0.9168172834004054)	(86, 0.9871852035373504)	(88, 1.059973476204258)
SRR062635_1 - polya	(1, 0.10565808976791373)	(2, 0.13088694584394833)	(3, 0.14871381241062823)	(4, 0.16894264908299275)	(5, 0.18725154366407876)	(6, 0.20255389062988602)	(7, 0.22248860851379937)	(8, 0.23819536881372702)	(9, 0.25526242851024133)	(10, 0.2788695462666215)	(12, 0.308681753462687)	(14, 0.3360552257045115)	(16, 0.3582775341652674)	(18, 0.37910482087246666)	(20, 0.3993193601037259)	(22, 0.4174995777148645)	(24, 0.43320633801479214)	(26, 0.4495176758243139)	(28, 0.4675794289234374)	(30, 0.4833311240382673)	(32, 0.49988347585499204)	(34, 0.5150551033592655)	(36, 0.5310539399560579)	(38, 0.5460315307596169)	(40, 0.5614462147626798)	(42, 0.5772469296755849)	(44, 0.5929618599418585)	(46, 0.6089239316900943)	(48, 0.6241200690934054)	(50, 0.6397859795616037)	(52, 0.6581847437724941)	(54, 0.6750087469702191)	(56, 0.6904091335321767)	(58, 0.7084974390219243)	(60, 0.7263386030297094)	(62, 0.743761056262269)	(64, 0.7586977972340987)	(66, 0.7742799655472519)	(68, 0.7910835438291122)	(70, 0.8082302606974986)	(72, 0.8233916757438398)	(74, 0.839294515236068)	(76, 0.857086659445778)	(78, 0.8745908123417963)	(80, 0.8909450424746338)	(82, 0.907407524661554)	(84, 0.923763797285978)	(86, 0.9397074866099357)	(88, 0.9553570571454424)
SRR062635_1 - polyg	(1, 6.535973076692903e-05)	(2, 7.352969711279516e-05)	(3, 8.986962980452742e-05)	(4, 0.00011437952884212582)	(5, 0.00013480444470679115)	(6, 0.0001511443773985234)	(7, 0.00018790922595492097)	(8, 0.00020424915864665326)	(9, 0.00023692902403011777)	(10, 0.0002798213473459149)	(12, 0.00039624336777450725)	(14, 0.0005167503713760326)	(16, 0.0006311299002181585)	(18, 0.0008231241093460126)	(20, 0.0010151183184738666)	(22, 0.0012377499013987187)	(24, 0.0015706760299927635)	(26, 0.001975089364113137)	(28, 0.0025898793316395633)	(30, 0.0033088363700757824)	(32, 0.004136045462594728)	(34, 0.004969382029873073)	(36, 0.005933438058685276)	(38, 0.007085403313452402)	(40, 0.008314983248505253)	(42, 0.009562945607836305)	(44, 0.01104987948278394)	(46, 0.012804379755558693)	(48, 0.014593602385303373)	(50, 0.01678723834916843)	(52, 0.019375075189221526)	(54, 0.02256544704728225)	(56, 0.026440053586809262)	(58, 0.030686393595073184)	(60, 0.035202342492750685)	(62, 0.04014312964041323)	(64, 0.04504715193951937)	(66, 0.050216698144866165)	(68, 0.05560479094996488)	(70, 0.061180792981018514)	(72, 0.06699576652768874)	(74, 0.07298639435079507)	(76, 0.07911795409336761)	(78, 0.08533325599098526)	(80, 0.09183859169388117)	(82, 0.09863191871046885)	(84, 0.10565604727632726)	(86, 0.11293140230732104)	(88, 0.12042734642965322)
SRR062635_2 - illumina_universal_adapter	(1, 4.901979807519678e-05)	(2, 4.901979807519678e-05)	(3, 5.718976442106291e-05)	(4, 5.718976442106291e-05)	(5, 6.535973076692903e-05)	(6, 7.352969711279516e-05)	(7, 7.761468028572823e-05)	(8, 8.169966345866129e-05)	(9, 8.578464663159436e-05)	(10, 0.00016135683533085606)	(12, 0.0003247561622481787)	(14, 0.0027839160323538835)	(16, 0.005292095700534785)	(18, 0.00668507496250496)	(20, 0.01595185929030362)	(22, 0.017189609191702336)	(24, 0.018439614042619856)	(26, 0.02102132340791355)	(28, 0.024965374661380428)	(30, 0.030480101944840063)	(32, 0.0384417341488866)	(34, 0.0486827869634298)	(36, 0.06107049843534931)	(38, 0.07530462230143459)	(40, 0.091391286036445)	(42, 0.10855025785435032)	(44, 0.12707565654360178)	(46, 0.14646298668234212)	(48, 0.16647736173812766)	(50, 0.1875538324188758)	(52, 0.21044812061157916)	(54, 0.2354482176299295)	(56, 0.2619291210484681)	(58, 0.2907691022493756)	(60, 0.3219497788083736)	(62, 0.3547481087038532)	(64, 0.3906918756424913)	(66, 0.4296483176711674)	(68, 0.47099038987283653)	(70, 0.5141461946032879)	(72, 0.5609049544922662)	(74, 0.6108111939159895)	(76, 0.6648882011592774)	(78, 0.7220963480046185)	(80, 0.782603118762103)	(82, 0.8470539407730544)	(84, 0.9152466073704126)	(86, 0.987722378824591)	(88, 1.063147508129627)
SRR062635_2 - polya	(1, 0.19582183836089234)	(2, 0.23137344691492878)	(3, 0.25700263134191087)	(4, 0.28053621940117823)	(5, 0.30496441877531794)	(6, 0.3234489676328401)	(7, 0.34796703663678435)	(8, 0.36776286509281797)	(9, 0.38891490796226535)	(10, 0.41716869407785695)	(12, 0.4528775744840513)	(14, 0.48692386673886195)	(16, 0.5130289517054907)	(18, 0.5386581361324727)	(20, 0.5640769439260487)	(22, 0.5857845445070151)	(24, 0.6052045545111389)	(26, 0.6251699097688492)	(28, 0.6461462983618604)	(30, 0.6640691620331043)	(32, 0.6834748745961228)	(34, 0.7015979024428404)	(36, 0.7198536922426783)	(38, 0.7373026978658619)	(40, 0.7546740888087597)	(42, 0.7726929495845674)	(44, 0.7903053545346683)	(46, 0.808244558138604)	(48, 0.8254014874649227)	(50, 0.8429505751758433)	(52, 0.8643068672039373)	(54, 0.8832162543114445)	(56, 0.9013576645824402)	(58, 0.9247339807895496)	(60, 0.9474995920123056)	(62, 0.9647361785104966)	(64, 0.9814662270952441)	(66, 0.9984025673302246)	(68, 1.0178981495230475)	(70, 1.0380800088889233)	(72, 1.056750424480814)	(74, 1.0776573683598853)	(76, 1.0996264078639193)	(78, 1.1276984122283156)	(80, 1.1483582146254245)	(82, 1.1685135216006761)	(84, 1.1888097604953942)	(86, 1.2084993793889316)	(88, 1.2282502730300626)
SRR062635_2 - polyg	(1, 0.001384809295624309)	(2, 0.0017442878148424188)	(3, 0.002140531182616926)	(4, 0.002500009701835036)	(5, 0.003022887547970468)	(6, 0.0037009947546773566)	(7, 0.004084983172933065)	(8, 0.004473056574361706)	(9, 0.006127474759399597)	(10, 0.009087045068189603)	(12, 0.012988203998340681)	(14, 0.014199401509115334)	(16, 0.015451448851619318)	(18, 0.016525799426100714)	(20, 0.017663467239762573)	(22, 0.018893047174815426)	(24, 0.020194114315394605)	(26, 0.0217995127023573)	(28, 0.02349069573595159)	(30, 0.025612844494290316)	(32, 0.02791881749541103)	(34, 0.03048214443642653)	(36, 0.03283713723562244)	(38, 0.03532284949635221)	(40, 0.03802915084842037)	(42, 0.04079059947332312)	(44, 0.04360311038788753)	(46, 0.04657902062936927)	(48, 0.049738755113633)	(50, 0.05336213518802463)	(52, 0.05736541869749903)	(54, 0.06163626860480055)	(56, 0.06643816632458337)	(58, 0.07185893899506554)	(60, 0.07748600331578084)	(62, 0.08351135349585712)	(64, 0.09008817640427935)	(66, 0.09682431365644598)	(68, 0.10384844222230438)	(70, 0.11110132984584703)	(72, 0.11851761679630701)	(74, 0.12636895445468435)	(76, 0.13426726941955044)	(78, 0.14220643421614587)	(80, 0.1503621031209067)	(82, 0.15872814865907364)	(84, 0.16764975190875944)	(86, 0.17670820209473853)	(88, 0.18632016750065)
